features,x08_1,x08_2,x08_3,x08_4,x09_1,x09_2,x09_3,x09_4,x09_5,x14_dm1,x14_dm2,x14_dm3,x14_dm4,x14_dm5,x14_dm6,x16_dm2,x16_dm3,x16_dm4,x16_dm5,x16_dm6,x17_dm1,x17_dm2,x17_dm3,x17_dm4,x17_dm5,x17_dm6,x18_dm1,x18_dm2,x18_dm3,x18_dm4,x18_dm5,x18_dm6,x22_dm1,x22_dm2,x22_dm3,x22_dm4,x22_dm5,x22_dm6,x23_dm1,x23_dm2,x23_dm3,x23_dm4,x23_dm5,x23_dm6,x25_dm1,x25_dm2,x25_dm3,x25_dm4,x25_dm5,x25_dm6,x27_dm1,x27_dm2,x27_dm3,x27_dm4,x27_dm5,x27_dm6,x28_1,x28_2
x14_dm2,0.011460388,-0.003541873,0.029371328,0.007738044,0.003006523,0.017275047,0.041800647,0.014906475,0.007738044,0.592424676,1,0.620966872,0.600000228,0.52114165,0.506587827,0.142816408,-0.059008269,0.017784269,-0.0322072,-0.0322072,0.025643966,-0.100935855,-0.032970775,-0.014367383,0.000165961,0.010845321,0.280630183,0.564032592,0.343591029,0.3774148,0.336076467,0.341608968,-0.007212862,0.008305716,-0.000471205,0.006080699,-0.002575396,0.001456016,-0.00145087,0.000844621,-0.004057479,-0.00345439,-0.00413302,-0.003101981,0.320599152,0.490869041,0.33838835,0.3681407,0.33953006,0.332718646,0.430411565,0.776783325,0.460068248,0.489779267,0.427341452,0.414686695,0.336749127,0.336749127
x14_dm3,0.014744943,-0.005128944,0.024605294,0.010877004,-0.000785542,0.016895316,0.035091057,0.019717249,0.010877004,0.582119346,0.620966872,1,0.64581029,0.614670757,0.537090582,0.073369375,0.074959788,-0.076269926,-0.01988816,-0.01988816,0.039292888,0.034941362,-0.090491121,-0.02590303,-0.004311454,0.010981629,0.321489128,0.304781265,0.581892055,0.369471392,0.393602621,0.355928569,-0.001533765,-0.001270055,0.009468749,0.005919099,0.000367926,-0.001161407,-0.000776256,-0.001952206,-0.001563664,-0.002901978,-0.003467127,-0.002739566,0.352155084,0.301008825,0.497087179,0.37032691,0.390072115,0.357730952,0.466886966,0.414935295,0.775009676,0.499752995,0.511183029,0.445855031,0.286212589,0.286212589
x14_dm4,0.01434338,-0.005708544,0.018563432,0.026190389,-0.006801688,0.016702758,0.028013388,0.018421266,0.026190389,0.498898292,0.600000228,0.64581029,1,0.654821738,0.621861745,0.088201513,0.017320749,0.056450374,-0.105688714,-0.105688714,0.045784297,0.043435783,0.032635983,-0.083507812,-0.016161957,0.010038665,0.265353503,0.336988659,0.33206215,0.592926045,0.378183626,0.405573389,-0.006160791,0.000920983,-0.003232179,0.007036301,0.000591321,0.001326615,-0.001342057,-0.001527845,-0.003432495,-0.000299608,-0.003233241,-0.002287359,0.302448948,0.323675994,0.320104979,0.507100424,0.379708215,0.394858381,0.391939337,0.446126868,0.438671529,0.782300669,0.506005657,0.512483395,0.277590651,0.277590651
x14_dm5,0.013927807,-0.006645995,0.013340174,0.042388657,-0.009223625,0.016731541,0.013913144,0.017962453,0.042388657,0.486593694,0.52114165,0.614670757,0.654821738,1,0.648758953,0.069974438,0.033673343,-0.009934854,0.020331753,0.020331753,0.047019475,0.067775519,0.054720215,0.041912935,-0.077172847,-0.003438568,0.272198879,0.280582015,0.355369418,0.348391143,0.602720505,0.383493462,-0.001361028,0.000441448,-0.003578468,-0.001165673,0.004525936,-0.000322622,-0.001123573,-0.001989488,-0.003221967,-0.002652128,-0.001831441,-0.002198028,0.308015769,0.282382408,0.340210964,0.338181409,0.527289558,0.387891183,0.394903034,0.376260409,0.46096017,0.459001386,0.790363294,0.504869123,0.254400569,0.254400569
x14_dm6,0.012466244,-0.009285726,0.007418439,0.057423614,-0.009598197,0.014786688,-0.001352471,0.017722056,0.057423614,0.464433705,0.506587827,0.537090582,0.621861745,0.648758953,1,0.069959606,0.017051192,0.012076172,-0.040434688,-0.040434688,0.057795526,0.067733577,0.073959586,0.063053053,0.051512147,-0.064002447,0.249499085,0.280321472,0.302658792,0.36768656,0.354481137,0.608258362,0.001531624,-0.003091947,-0.003712133,-0.002983767,-0.004698515,0.004770623,-0.001360888,-0.001883003,-0.00356573,-0.002582033,-0.003144333,-0.000878985,0.292846242,0.284491856,0.305310585,0.355410849,0.355856423,0.5385177,0.366848415,0.375132517,0.392902331,0.474645873,0.464398661,0.793562553,0.258036032,0.258036032
x16_dm2,0.000772098,0.005727899,-0.000323554,0.002399444,-0.002257403,0.002605951,0.001392902,-0.010998065,0.002399444,0.007967587,0.142816408,0.073369375,0.088201513,0.069974438,0.069959606,1,0.132746612,0.197420151,0.158627234,0.158627234,0.033574995,0.195441224,0.127485988,0.103185215,0.074224516,0.058076659,0.022489017,0.131141195,0.047993908,0.074678759,0.059041995,0.061710865,-0.003886104,0.00395074,0.000540476,-0.003867752,0.003555687,0.004787536,-0.001499048,0.005305303,0.004352734,0.001480113,0.001955908,0.004248977,0.11544143,0.165336873,0.071703339,0.085976518,0.072461641,0.076775541,0.230794486,0.207532144,0.141941989,0.164578279,0.139447262,0.139043334,0.147893294,0.147893294
x16_dm3,-0.002780587,0.010395113,0.005420922,-0.012980759,-0.005202956,0.000643144,0.006718161,-0.006887537,-0.012980759,0.046263166,-0.059008269,0.074959788,0.017320749,0.033673343,0.017051192,0.132746612,1,0.187619408,0.207786573,0.207786573,-0.016382364,-0.011211833,0.141572627,0.083113366,0.058096326,0.034514827,0.07545024,0.020175372,0.09741983,0.02249963,0.049525952,0.03208159,0.003393315,0.002804501,0.000548776,-0.007631765,0.005184525,0.002612195,0.004672565,0.003316843,0.002002605,0.000313274,0.004925341,0.004054473,0.067275124,0.025134344,0.155660099,0.061863556,0.074204845,0.06115371,0.161626087,0.145368383,0.198377855,0.128450792,0.142841567,0.123140036,0.049062404,0.049062404
x16_dm4,-0.003547269,0.003870446,0.001924882,-0.004749599,-0.001410505,0.0020753,0.010019751,-0.012022262,-0.004749599,0.012758617,0.017784269,-0.076269926,0.056450374,-0.009934854,0.012076172,0.197420151,0.187619408,1,0.193859901,0.193859901,-0.016348734,-0.023998569,-0.014465062,0.123679477,0.06763672,0.042832262,0.029907299,0.062413672,-0.002219181,0.083963164,0.010132219,0.034307349,0.001946083,0.002682516,0.002354935,-0.004452942,-0.00504556,0.004199586,0.004611289,0.004015881,0.003867405,0.000602598,0.001097845,0.003744999,0.009152601,0.053625806,-0.007964957,0.10480519,0.025062562,0.038900854,0.083564556,0.13847544,0.110421073,0.149569377,0.082674951,0.100880071,0.058817081,0.058817081
x16_dm5,-0.001075559,-0.000827665,0.004063457,-0.016926603,0.003809112,0.004043829,0.015482673,-0.008910956,-0.016926603,0.00260811,-0.0322072,-0.01988816,-0.105688714,0.020331753,-0.040434688,0.158627234,0.207786573,0.193859901,1,1,-0.023567426,-0.043708274,-0.054911537,-0.049924282,0.102754261,0.046234523,0.02585109,0.01028217,0.033233964,-0.02105867,0.067740768,-0.004523502,0.005138202,-0.000391831,-0.001821728,0.001757036,-0.003282496,-0.001580942,0.004592324,0.004278982,0.004881923,0.005218311,0.004423716,0.00342549,0.009551283,0.007078899,0.021356437,-0.035735989,0.082956284,0.014834583,0.080993726,0.07570784,0.106096162,0.07874023,0.117278105,0.065071011,0.011283519,0.011283519
x16_dm6,-0.001075559,-0.000827665,0.004063457,-0.016926603,0.003809112,0.004043829,0.015482673,-0.008910956,-0.016926603,0.00260811,-0.0322072,-0.01988816,-0.105688714,0.020331753,-0.040434688,0.158627234,0.207786573,0.193859901,1,1,-0.023567426,-0.043708274,-0.054911537,-0.049924282,0.102754261,0.046234523,0.02585109,0.01028217,0.033233964,-0.02105867,0.067740768,-0.004523502,0.005138202,-0.000391831,-0.001821728,0.001757036,-0.003282496,-0.001580942,0.004592324,0.004278982,0.004881923,0.005218311,0.004423716,0.00342549,0.009551283,0.007078899,0.021356437,-0.035735989,0.082956284,0.014834583,0.080993726,0.07570784,0.106096162,0.07874023,0.117278105,0.065071011,0.011283519,0.011283519
x17_dm1,0.007537933,-0.001645064,0.013056787,-0.01809895,0.013780268,0.010758445,0.024634589,0.000497531,-0.01809895,-0.119352905,0.025643966,0.039292888,0.045784297,0.047019475,0.057795526,0.033574995,-0.016382364,-0.016348734,-0.023567426,-0.023567426,1,0.696078622,0.58424813,0.49123416,0.440312621,0.382740912,-0.122049269,0.001854398,0.012158104,0.015954335,0.016067794,0.021363239,-0.000589844,-0.002201433,-0.002018846,0.000509641,0.01228296,0.007259352,-0.004862187,-0.003280139,-0.003715028,-0.003817186,-0.003191618,-0.002548216,-0.066005929,0.027487458,0.043976925,0.050882041,0.053572146,0.060816123,-0.193144373,-0.038368842,-0.011327129,0.003230767,0.01000153,0.02587245,0.213899404,0.213899404
x17_dm2,0.006800898,0.002011653,0.00785218,-0.009573323,0.010442749,0.013282852,0.020289702,-0.002436166,-0.009573323,-0.036935346,-0.100935855,0.034941362,0.043435783,0.067775519,0.067733577,0.195441224,-0.011211833,-0.023998569,-0.043708274,-0.043708274,0.696078622,1,0.697565284,0.594834675,0.494009095,0.437590019,-0.067930294,-0.104523381,0.00943783,0.013572266,0.028929359,0.024742454,0.0035631,0.006658455,-0.001836452,0.000587244,0.011138617,0.008632716,-0.003909801,-0.004317338,-0.003551998,-0.003662652,-0.002965959,-0.002403419,0.011308092,-0.067413734,0.044313015,0.049502002,0.063984727,0.065191825,-0.097019996,-0.193464231,-0.025305767,-0.011087209,0.020371079,0.025411412,0.185077649,0.185077649
